,management,army,process,data,system,systems,development,used,acquisition,performance,program,training,information,support,project,using,within,organizational,new,quality,processes,model,use,results,would,leadership,government,business,operations,cost
management,166.0,50.0,70.0,62.0,42.0,56.0,53.0,55.0,32.0,45.0,43.0,38.0,47.0,49.0,38.0,51.0,47.0,27.0,40.0,46.0,38.0,32.0,39.0,40.0,15.0,31.0,40.0,39.0,32.0,23.0
army,50.0,144.0,37.0,47.0,39.0,32.0,52.0,38.0,20.0,23.0,38.0,37.0,21.0,52.0,22.0,43.0,34.0,24.0,33.0,16.0,25.0,18.0,27.0,30.0,19.0,25.0,25.0,18.0,30.0,14.0
process,70.0,37.0,159.0,60.0,52.0,59.0,50.0,55.0,30.0,43.0,40.0,30.0,31.0,35.0,28.0,57.0,46.0,35.0,36.0,36.0,62.0,37.0,47.0,39.0,13.0,27.0,35.0,39.0,27.0,30.0
data,62.0,47.0,60.0,156.0,53.0,46.0,43.0,71.0,20.0,44.0,42.0,35.0,44.0,30.0,30.0,73.0,56.0,42.0,40.0,33.0,37.0,44.0,46.0,70.0,16.0,31.0,31.0,24.0,17.0,28.0
system,42.0,39.0,52.0,53.0,122.0,55.0,47.0,43.0,31.0,41.0,36.0,25.0,37.0,37.0,18.0,44.0,33.0,13.0,32.0,26.0,28.0,30.0,43.0,37.0,12.0,16.0,30.0,17.0,27.0,28.0
systems,56.0,32.0,59.0,46.0,55.0,124.0,51.0,44.0,31.0,39.0,35.0,23.0,47.0,42.0,19.0,45.0,30.0,26.0,41.0,24.0,31.0,31.0,34.0,34.0,10.0,15.0,38.0,26.0,24.0,31.0
development,53.0,52.0,50.0,43.0,47.0,51.0,135.0,49.0,34.0,32.0,41.0,32.0,31.0,38.0,24.0,44.0,31.0,23.0,43.0,22.0,23.0,31.0,38.0,35.0,16.0,19.0,30.0,17.0,25.0,30.0
used,55.0,38.0,55.0,71.0,43.0,44.0,49.0,135.0,22.0,39.0,30.0,32.0,39.0,29.0,34.0,62.0,43.0,27.0,39.0,27.0,38.0,44.0,43.0,51.0,19.0,30.0,30.0,25.0,13.0,27.0
acquisition,32.0,20.0,30.0,20.0,31.0,31.0,34.0,22.0,77.0,24.0,26.0,14.0,18.0,25.0,8.0,22.0,13.0,13.0,21.0,12.0,17.0,18.0,23.0,12.0,4.0,8.0,22.0,15.0,13.0,20.0
performance,45.0,23.0,43.0,44.0,41.0,39.0,32.0,39.0,24.0,100.0,28.0,18.0,25.0,24.0,15.0,33.0,29.0,24.0,31.0,22.0,22.0,21.0,33.0,33.0,8.0,16.0,25.0,20.0,17.0,26.0
program,43.0,38.0,40.0,42.0,36.0,35.0,41.0,30.0,26.0,28.0,103.0,28.0,21.0,30.0,21.0,39.0,27.0,16.0,27.0,19.0,24.0,23.0,23.0,26.0,11.0,18.0,27.0,24.0,17.0,23.0
training,38.0,37.0,30.0,35.0,25.0,23.0,32.0,32.0,14.0,18.0,28.0,88.0,18.0,29.0,7.0,23.0,23.0,15.0,20.0,12.0,17.0,14.0,27.0,20.0,8.0,22.0,17.0,22.0,21.0,8.0
information,47.0,21.0,31.0,44.0,37.0,47.0,31.0,39.0,18.0,25.0,21.0,18.0,97.0,28.0,20.0,33.0,27.0,16.0,29.0,15.0,23.0,21.0,28.0,30.0,5.0,11.0,29.0,21.0,20.0,13.0
support,49.0,52.0,35.0,30.0,37.0,42.0,38.0,29.0,25.0,24.0,30.0,29.0,28.0,116.0,19.0,36.0,17.0,17.0,25.0,19.0,21.0,20.0,28.0,26.0,12.0,19.0,24.0,22.0,32.0,19.0
project,38.0,22.0,28.0,30.0,18.0,19.0,24.0,34.0,8.0,15.0,21.0,7.0,20.0,19.0,69.0,24.0,18.0,7.0,17.0,24.0,17.0,13.0,17.0,21.0,14.0,8.0,18.0,12.0,11.0,13.0
using,51.0,43.0,57.0,73.0,44.0,45.0,44.0,62.0,22.0,33.0,39.0,23.0,33.0,36.0,24.0,134.0,41.0,23.0,32.0,23.0,39.0,44.0,39.0,51.0,11.0,33.0,27.0,23.0,25.0,25.0
within,47.0,34.0,46.0,56.0,33.0,30.0,31.0,43.0,13.0,29.0,27.0,23.0,27.0,17.0,18.0,41.0,106.0,34.0,26.0,23.0,31.0,22.0,27.0,34.0,13.0,26.0,27.0,15.0,19.0,18.0
organizational,27.0,24.0,35.0,42.0,13.0,26.0,23.0,27.0,13.0,24.0,16.0,15.0,16.0,17.0,7.0,23.0,34.0,73.0,13.0,10.0,21.0,20.0,17.0,24.0,5.0,21.0,19.0,12.0,10.0,10.0
new,40.0,33.0,36.0,40.0,32.0,41.0,43.0,39.0,21.0,31.0,27.0,20.0,29.0,25.0,17.0,32.0,26.0,13.0,109.0,15.0,21.0,25.0,34.0,27.0,13.0,9.0,24.0,20.0,19.0,25.0
quality,46.0,16.0,36.0,33.0,26.0,24.0,22.0,27.0,12.0,22.0,19.0,12.0,15.0,19.0,24.0,23.0,23.0,10.0,15.0,73.0,20.0,13.0,20.0,29.0,11.0,11.0,20.0,16.0,11.0,15.0
processes,38.0,25.0,62.0,37.0,28.0,31.0,23.0,38.0,17.0,22.0,24.0,17.0,23.0,21.0,17.0,39.0,31.0,21.0,21.0,20.0,90.0,24.0,21.0,19.0,10.0,17.0,18.0,29.0,18.0,21.0
model,32.0,18.0,37.0,44.0,30.0,31.0,31.0,44.0,18.0,21.0,23.0,14.0,21.0,20.0,13.0,44.0,22.0,20.0,25.0,13.0,24.0,84.0,23.0,34.0,7.0,16.0,17.0,17.0,13.0,21.0
use,39.0,27.0,47.0,46.0,43.0,34.0,38.0,43.0,23.0,33.0,23.0,27.0,28.0,28.0,17.0,39.0,27.0,17.0,34.0,20.0,21.0,23.0,107.0,37.0,12.0,12.0,25.0,18.0,23.0,21.0
results,40.0,30.0,39.0,70.0,37.0,34.0,35.0,51.0,12.0,33.0,26.0,20.0,30.0,26.0,21.0,51.0,34.0,24.0,27.0,29.0,19.0,34.0,37.0,116.0,14.0,26.0,27.0,17.0,16.0,24.0
would,15.0,19.0,13.0,16.0,12.0,10.0,16.0,19.0,4.0,8.0,11.0,8.0,5.0,12.0,14.0,11.0,13.0,5.0,13.0,11.0,10.0,7.0,12.0,14.0,42.0,8.0,8.0,6.0,10.0,10.0
leadership,31.0,25.0,27.0,31.0,16.0,15.0,19.0,30.0,8.0,16.0,18.0,22.0,11.0,19.0,8.0,33.0,26.0,21.0,9.0,11.0,17.0,16.0,12.0,26.0,8.0,75.0,17.0,10.0,6.0,7.0
government,40.0,25.0,35.0,31.0,30.0,38.0,30.0,30.0,22.0,25.0,27.0,17.0,29.0,24.0,18.0,27.0,27.0,19.0,24.0,20.0,18.0,17.0,25.0,27.0,8.0,17.0,96.0,18.0,22.0,19.0
business,39.0,18.0,39.0,24.0,17.0,26.0,17.0,25.0,15.0,20.0,24.0,22.0,21.0,22.0,12.0,23.0,15.0,12.0,20.0,16.0,29.0,17.0,18.0,17.0,6.0,10.0,18.0,80.0,13.0,11.0
operations,32.0,30.0,27.0,17.0,27.0,24.0,25.0,13.0,13.0,17.0,17.0,21.0,20.0,32.0,11.0,25.0,19.0,10.0,19.0,11.0,18.0,13.0,23.0,16.0,10.0,6.0,22.0,13.0,75.0,6.0
cost,23.0,14.0,30.0,28.0,28.0,31.0,30.0,27.0,20.0,26.0,23.0,8.0,13.0,19.0,13.0,25.0,18.0,10.0,25.0,15.0,21.0,21.0,21.0,24.0,10.0,7.0,19.0,11.0,6.0,73.0
